t_index	term	df
0	aan	1
1	aaron	2
2	aback	1
3	abahd	1
4	abandon	37
5	abat	1
6	abc	49
7	abccom	1
8	abcnewscom	3
9	abdallah	2
10	abdel	3
11	abdomin	2
12	abduct	2
13	abdul	5
14	abdulkarim	11
15	abdullah	40
16	abdurahman	1
17	aberr	1
18	abhad	1
19	abhiyan	1
20	abhorr	2
21	abid	7
22	abidjan	36
23	abijan	1
24	abil	32
25	ablaz	3
26	abnorm	1
27	aboard	93
28	abobo	3
29	abolish	4
30	abomin	1
31	abort	7
32	abound	4
33	abovo	1
34	abraham	10
35	abreast	1
36	abrego	1
37	abroad	52
38	abrog	2
39	abrupt	1
40	abruptli	4
41	abscam	1
42	absenc	6
43	absent	4
44	absente	7
45	absentia	3
46	absolut	43
47	absorb	9
48	abstain	1
49	abstent	1
50	absurd	2
51	abu	7
52	abund	2
53	abus	28
54	abuseofpow	1
55	abuzaakouk	1
56	abyan	1
57	abyssinian	1
58	academ	6
59	academi	4
60	academia	1
61	acced	1
62	acceler	4
63	accent	2
64	accentu	2
65	accept	124
66	access	41
67	accid	32
68	accident	3
69	accommod	11
70	accompani	33
71	accomplic	5
72	accomplish	10
73	accord	145
74	accordingli	1
75	accordion	1
76	account	125
77	accredit	1
78	accumul	2
79	accur	14
80	accuraci	1
81	accus	131
82	accustom	2
83	acerb	2
84	achiev	31
85	acid	2
86	acknowledg	55
87	acolyt	1
88	acosta	1
89	acquaint	1
90	acquiesc	1
91	acquir	5
92	acquisit	1
93	acquit	5
94	acquitt	3
95	acrimoni	2
96	acrobat	5
97	acronym	1
98	acrosstheboard	1
99	action	94
100	actionc	1
101	activ	89
102	activist	19
103	actor	4
104	actress	2
105	actual	66
106	adam	8
107	adapt	5
108	add	18
109	addali	1
110	adden	1
111	addit	74
112	address	64
113	adem	1
114	aden	169
115	adenabyan	5
116	adenbas	1
117	adequ	7
118	adher	4
119	adiksa	1
120	adjac	4
121	adjam	2
122	adjoin	3
123	adjourn	3
124	adjust	7
125	adlai	1
126	adm	44
127	admen	1
128	administ	9
129	administr	115
130	administrationmedi	1
131	admir	38
132	admiralti	1
133	admiringli	1
134	admiss	2
135	admit	40
136	ado	2
137	adob	1
138	adolesc	2
139	adopt	17
140	adorn	1
141	adoubi	1
142	adra	1
143	adrain	1
144	adrenalin	1
145	adriat	1
146	adrift	4
147	adult	10
148	advanc	66
